id,age,gender,income,education,region,loyalty_status,promotion_usage,satisfaction_score
75722,19,Male,6378,Masters,South,Regular,1,5
80185,30,Female,20232,College,South,Silver,0,7
19865,26,Male,11959,College,North,Silver,0,6
76700,34,Female,18059,College,West,Regular,0,4
92992,31,Male,12968,College,North,Silver,0,6
76435,31,Male,33024,Bachelor,West,Regular,0,4
84005,28,Female,45160,College,North,Regular,1,5
80918,27,Female,29637,College,East,Regular,1,5
60768,33,Female,11744,Bachelor,West,Regular,0,3
50075,30,Male,42650,College,South,Silver,0,7
27702,28,Female,43884,College,West,Regular,0,6
42142,33,Male,20316,HighSchool,South,Regular,1,4
45081,35,Male,12141,College,East,Silver,0,5
16639,29,Male,25050,Bachelor,East,Regular,0,6
20425,35,Male,12330,College,West,Regular,1,4
88703,38,Female,10832,Bachelor,West,Silver,0,5
150,24,Male,8854,Bachelor,East,Silver,0,4
1762,23,Male,39035,Bachelor,North,Silver,0,4
63121,25,Male,31436,HighSchool,East,Silver,0,7
69162,31,Male,22708,HighSchool,West,Regular,0,5
64884,32,Female,7941,HighSchool,North,Silver,1,4
2496,33,Female,29765,HighSchool,North,Regular,0,5
80297,39,Male,48899,HighSchool,South,Regular,0,5
19448,34,Female,23819,Bachelor,North,Gold,1,5
41332,32,Male,29043,College,West,Silver,1,3
14889,27,Male,43933,Bachelor,West,Regular,1,5
88637,32,Female,49407,College,West,Regular,0,5
94893,26,Female,23384,HighSchool,East,Regular,0,5
92732,28,Female,27401,Bachelor,South,Regular,1,6
29131,30,Female,49283,College,East,Silver,0,5
79023,27,Male,42489,College,North,Regular,0,5
84937,28,Female,7086,Bachelor,West,Regular,0,4
16822,25,Female,41441,Bachelor,West,Silver,0,5
36734,32,Male,31896,Bachelor,East,Silver,0,5
15603,38,Female,35509,College,North,Gold,0,5
28534,32,Female,7556,College,East,Regular,0,6
69770,28,Male,45214,Bachelor,West,Silver,0,3
11406,18,Male,41023,College,East,Silver,1,5
96853,33,Female,23722,College,South,Regular,1,7
16131,35,Female,38636,Bachelor,North,Regular,1,4
19793,29,Female,19450,College,North,Regular,1,6
89578,21,Male,46102,College,South,Regular,0,6
40164,32,Female,15573,College,West,Gold,0,7
31777,38,Male,17206,HighSchool,West,Silver,0,5
25331,36,Female,15310,College,South,Gold,1,4
79157,34,Male,27287,College,West,Silver,1,6
51686,29,Male,12275,College,South,Gold,0,4
75499,38,Female,10535,Bachelor,West,Regular,1,5
4728,28,Male,30699,Bachelor,West,Regular,0,4
85199,34,Male,14170,College,East,Regular,1,5
35796,31,Male,19371,HighSchool,North,Regular,1,5
12257,25,Female,39987,College,West,Regular,0,6
35719,34,Male,18530,College,East,Regular,1,6
70552,31,Female,17788,Bachelor,East,Silver,1,7
54375,31,Female,24156,Masters,East,Regular,0,7
39692,30,Female,31820,College,South,Regular,1,5
93703,30,Female,32724,College,West,Silver,1,3
73692,35,Male,20548,College,West,Regular,0,6
98071,21,Female,18744,Bachelor,West,Regular,1,4
576,36,Female,5863,Bachelor,South,Regular,0,4
84611,29,Male,17569,College,South,Regular,0,7
61770,36,Female,28447,College,West,Silver,1,6
32261,27,Female,37785,College,East,Silver,1,5
82200,32,Female,25928,College,East,Regular,1,4
36291,31,Male,39407,College,South,Silver,0,5
78450,44,Male,18564,Masters,West,Silver,1,6
60056,37,Male,40967,College,West,Regular,0,5
45949,35,Female,40264,College,East,Gold,0,5
28178,33,Female,29340,College,North,Silver,0,5
84464,24,Male,39157,Bachelor,East,Silver,0,5
579,23,Male,44824,College,West,Regular,1,4
30960,29,Female,20530,College,South,Regular,1,7
64291,25,Female,23864,College,North,Regular,0,4
14532,35,Male,21621,Bachelor,South,Regular,0,5
17934,30,Male,43074,Bachelor,South,Regular,0,6
33609,29,Male,38337,Masters,West,Regular,0,5
49960,33,Female,33733,HighSchool,West,Regular,0,3
66599,28,Male,7218,College,East,Regular,0,3
99090,33,Male,37860,College,North,Regular,1,5
34452,36,Female,23698,HighSchool,West,Regular,0,5
34081,28,Female,29041,College,South,Regular,0,5
63588,31,Female,17783,College,East,Regular,0,8
4294,22,Female,37209,College,West,Regular,0,4
69103,22,Male,22889,Bachelor,North,Silver,1,7
86412,32,Male,31516,HighSchool,West,Regular,0,3
99477,36,Female,30404,Bachelor,North,Regular,1,5
53930,29,Female,20915,College,South,Silver,1,6
87071,28,Female,21818,HighSchool,East,Gold,1,5
65084,30,Male,42928,College,East,Silver,0,6
30713,30,Female,44137,HighSchool,South,Regular,0,5
49183,25,Male,10177,College,South,Regular,0,5
57235,27,Female,45036,College,East,Regular,0,6
15664,27,Female,18253,HighSchool,South,Regular,0,6
19967,33,Male,24359,Bachelor,East,Regular,0,4
91913,28,Female,33172,Masters,West,Regular,1,5
91958,36,Female,24546,Bachelor,South,Regular,0,4
81347,31,Female,26954,HighSchool,West,Silver,0,5
55326,27,Male,41853,College,North,Regular,0,4
29858,26,Female,31074,Bachelor,West,Regular,0,3
71223,33,Female,46298,Bachelor,West,Silver,0,6
52459,27,Male,21436,Bachelor,North,Silver,0,5
88346,23,Female,35122,College,West,Regular,1,5
82364,26,Male,33097,Bachelor,East,Regular,0,5
65350,29,Female,5091,Bachelor,North,Regular,0,5
59650,36,Male,41939,College,West,Silver,0,4
44953,34,Male,39184,Bachelor,West,Gold,0,5
39526,33,Female,32085,College,West,Silver,1,5
13936,25,Female,23449,Bachelor,East,Regular,1,7
93781,37,Male,7821,College,West,Regular,0,5
89885,27,Female,43729,HighSchool,North,Regular,0,4
81144,37,Female,5787,College,East,Regular,0,6
95800,31,Male,31222,College,North,Regular,0,5
89405,30,Male,15502,Bachelor,South,Silver,0,6
55224,29,Female,34436,Bachelor,North,Regular,0,6
73646,22,Female,35296,Bachelor,North,Gold,0,5
66294,33,Female,35502,Masters,West,Regular,0,5
65540,29,Female,46249,Bachelor,West,Silver,0,6
28111,30,Female,17200,Masters,North,Silver,1,4
41929,31,Male,12844,Bachelor,West,Regular,1,5
86547,35,Female,48434,College,West,Regular,0,6
82586,26,Male,12797,Bachelor,West,Regular,0,6
38604,32,Male,27806,HighSchool,East,Regular,1,5
91658,24,Female,47859,Bachelor,East,Regular,1,4
62787,29,Female,17924,College,North,Regular,0,6
84341,23,Male,49855,HighSchool,West,Gold,0,3
39875,29,Female,44419,HighSchool,North,Regular,0,6
78469,25,Female,17683,HighSchool,South,Regular,0,4
31632,28,Male,15943,Masters,North,Silver,1,5
14953,24,Female,10505,Bachelor,West,Regular,1,5
39332,26,Female,20954,Bachelor,East,Silver,0,5
48588,29,Female,46037,College,South,Silver,0,4
83595,31,Female,34566,College,North,Regular,0,4
41488,34,Female,29321,HighSchool,South,Regular,0,7
39628,36,Male,30069,Bachelor,North,Regular,0,5
87895,30,Male,13423,HighSchool,East,Regular,0,5
26304,30,Female,13072,College,East,Silver,1,6
67404,33,Female,19917,Masters,East,Regular,0,4
98085,32,Female,19908,College,West,Gold,1,6
95602,27,Female,35960,HighSchool,East,Regular,0,5
5020,24,Female,43383,HighSchool,South,Regular,1,5
5224,31,Female,23358,College,North,Regular,0,5
15781,27,Male,49160,College,East,Silver,0,4
45557,29,Male,8827,College,West,Regular,0,3
12897,34,Female,48829,College,West,Silver,0,5
34305,33,Female,9380,College,West,Silver,0,6
93323,31,Male,7204,College,West,Regular,1,4
5325,24,Male,23865,College,East,Silver,0,4
52926,20,Female,33938,College,South,Silver,0,4
62865,31,Female,12424,Bachelor,East,Regular,0,4
8019,33,Female,41225,Bachelor,West,Silver,1,5
82945,33,Female,39750,HighSchool,North,Regular,1,5
90377,31,Female,19170,Bachelor,West,Regular,0,5
41721,29,Male,45184,Bachelor,North,Regular,0,5
867,22,Male,39996,Bachelor,West,Silver,1,6
98444,37,Male,40880,Masters,West,Silver,0,5
83040,32,Male,40849,Bachelor,North,Silver,0,4
13925,28,Female,39988,HighSchool,East,Silver,1,4
79893,35,Male,44950,College,North,Regular,1,4
31184,27,Female,6436,College,East,Regular,0,5
13800,26,Male,47761,College,East,Silver,0,3
40989,28,Male,15185,HighSchool,South,Regular,0,5
66734,35,Male,17175,HighSchool,North,Gold,1,6
78331,27,Male,47611,Masters,East,Silver,0,4
24379,28,Male,19493,College,West,Regular,1,4
23415,30,Female,31488,Bachelor,East,Regular,0,5
97560,44,Male,6191,College,East,Regular,0,6
22993,37,Female,6415,College,West,Regular,1,3
3232,35,Female,11915,Bachelor,South,Regular,1,7
41996,25,Female,29063,Masters,West,Gold,1,4
49188,32,Male,34913,HighSchool,East,Regular,0,8
22515,33,Male,23946,HighSchool,South,Silver,0,4
21326,22,Male,34162,College,North,Regular,0,5
86234,27,Male,6093,Masters,East,Silver,0,4
88127,22,Female,14503,Bachelor,North,Regular,0,5
29824,30,Male,8989,College,East,Regular,1,5
92485,30,Female,27477,HighSchool,West,Regular,1,5
68425,31,Male,31997,College,West,Regular,1,4
64484,28,Male,24222,College,South,Regular,1,5
51020,24,Male,33271,College,South,Gold,0,5
26754,28,Female,32447,Bachelor,East,Gold,0,7
49964,20,Female,30263,Masters,East,Silver,0,6
42732,27,Male,6183,HighSchool,North,Regular,0,5
29057,24,Female,12685,College,West,Silver,0,6
55318,35,Male,22841,College,North,Regular,0,2
35497,21,Male,18581,Bachelor,South,Regular,0,4
56338,32,Male,27130,Bachelor,East,Regular,1,5
79278,30,Male,39774,HighSchool,East,Regular,0,6
5465,21,Male,15554,College,East,Regular,0,6
70156,21,Male,17742,Masters,South,Regular,1,5
70670,34,Female,22824,College,East,Gold,1,4
56014,35,Female,37551,College,South,Regular,0,5
12086,33,Female,26542,Masters,East,Regular,0,6
56819,31,Male,21006,College,East,Regular,0,5
20001,26,Female,5414,Bachelor,East,Regular,1,4
69067,25,Male,33661,HighSchool,East,Silver,0,4
50453,29,Female,24942,College,West,Gold,0,6
90710,37,Female,27138,College,West,Regular,0,5
52885,31,Male,48693,HighSchool,West,Regular,0,4
30964,26,Female,49554,College,North,Silver,0,4
34574,36,Female,14695,College,East,Regular,1,5
15295,38,Female,32895,HighSchool,South,Regular,1,6
27919,29,Female,10661,Bachelor,North,Regular,0,5
46121,26,Female,40428,College,West,Regular,0,5
35074,33,Male,45705,Bachelor,East,Regular,1,6
10551,39,Female,33391,College,South,Silver,0,6
91128,30,Female,35716,Masters,West,Silver,1,6
691,30,Female,44257,College,South,Silver,1,4
77730,22,Female,17916,Bachelor,West,Regular,0,5
36097,34,Male,15447,Masters,West,Silver,1,5
65352,30,Female,23324,College,West,Regular,0,5
11041,36,Male,38030,College,North,Regular,0,8
4222,31,Female,43883,Bachelor,North,Regular,0,5
822,33,Male,14035,College,West,Gold,1,6
38129,18,Female,10473,College,West,Silver,1,4
89152,26,Female,11336,Bachelor,West,Silver,0,5
29232,29,Male,11384,HighSchool,North,Silver,0,5
50557,37,Female,9767,Masters,West,Regular,0,5
33685,21,Female,15961,College,East,Regular,0,7
58754,33,Male,20543,College,West,Regular,0,5
27023,31,Male,42399,College,North,Silver,1,4
36906,27,Female,20179,Bachelor,North,Regular,0,7
271,34,Male,16479,Bachelor,North,Silver,1,5
8867,31,Male,5165,College,West,Silver,0,5
15007,23,Male,22545,Bachelor,West,Regular,0,3
4689,26,Female,33305,College,South,Gold,1,4
81996,29,Male,38871,College,North,Regular,0,4
84373,27,Female,30759,Bachelor,East,Silver,1,5
2515,32,Female,7382,College,West,Regular,1,4
36400,29,Female,40924,HighSchool,North,Gold,0,4
38869,31,Female,32523,College,North,Regular,1,5
58245,28,Male,48930,Bachelor,North,Regular,0,6
30410,42,Female,5102,HighSchool,West,Regular,1,5
54795,30,Female,42887,HighSchool,South,Regular,0,7
19264,31,Male,41408,Bachelor,East,Regular,0,6
83910,32,Male,27977,Bachelor,North,Silver,0,3
26974,25,Female,17363,Bachelor,North,Regular,1,4
7130,21,Female,34343,HighSchool,East,Silver,1,7
7145,28,Male,20019,Bachelor,South,Regular,0,6
45466,26,Female,7425,Bachelor,West,Silver,0,6
1967,34,Female,32150,Bachelor,East,Regular,0,6
15153,26,Female,41608,Bachelor,East,Regular,1,4
19114,20,Male,16074,College,South,Silver,0,6
76207,32,Male,9855,College,East,Regular,0,6
32142,28,Male,16650,College,East,Silver,0,6
21935,17,Male,27788,Bachelor,East,Silver,0,4
40360,27,Male,26387,College,North,Regular,1,4
53842,27,Male,5727,College,South,Regular,1,4
9163,30,Male,11103,Masters,South,Silver,0,4
87844,35,Male,35012,College,North,Gold,1,5
37630,34,Female,23986,HighSchool,West,Silver,1,7
83305,27,Male,43003,College,East,Silver,1,6
66270,29,Female,13451,College,East,Silver,1,6
34654,33,Female,46501,College,West,Silver,0,3
41963,31,Female,48722,College,East,Regular,1,5
39591,29,Male,15643,Bachelor,North,Silver,1,6
81036,31,Female,16199,College,South,Silver,0,7
10981,34,Female,34948,Masters,East,Regular,1,6
