id,Order Date,Value
24.0,2023-11-14,155.75
24.0,2023-11-20,478.86
24.0,2023-10-27,1491.07
24.0,2023-05-16,1601.4
24.0,2024-06-20,2001.02
24.0,2023-09-30,73.13
24.0,2024-07-08,1209.96
24.0,2023-02-26,1650.98
24.0,2023-01-28,1002.46
24.0,2022-11-05,447.02
24.0,2023-08-04,446.42
24.0,2022-11-04,2074.93
40.0,2024-04-26,973.6
40.0,2023-10-17,6144.22
40.0,2022-10-17,2175.37
40.0,2022-07-01,1034.54
40.0,2022-06-07,7267.27
54.0,2023-09-18,2874.88
54.0,2024-02-19,542.91
54.0,2023-06-25,180.1
54.0,2023-10-17,378.72
54.0,2022-09-27,3610.39
71.0,2023-11-01,174.1
71.0,2023-10-04,262.29
71.0,2023-06-19,8536.61
88.0,2024-05-11,4539.87
88.0,2023-08-27,1345.68
88.0,2024-07-25,1459.87
88.0,2024-04-13,555.14
88.0,2023-01-21,1507.45
89.0,2023-02-03,526.2
89.0,2023-03-10,1583.67
89.0,2022-12-11,11076.13
98.0,2024-08-08,2387.0
102.0,2022-08-09,777.93
102.0,2024-08-21,1047.88
102.0,2023-04-21,937.44
102.0,2022-12-26,4054.95
102.0,2024-04-15,580.54
102.0,2023-11-24,£101.77
102.0,2022-11-01,3695.23
102.0,2023-06-20,2705.73
102.0,2023-04-06,630.13
102.0,2022-06-23,734.4
103.0,2023-12-23,5272.0
104.0,2023-11-11,1568.0
107.0,2024-04-04,3001.0
115.0,2024-03-06,4289.0
116.0,2023-09-17,2219.54
116.0,2023-12-04,6.53
116.0,2023-08-12,4317.95
116.0,2024-04-15,1173.42
116.0,2024-03-19,6907.11
116.0,2023-01-27,3040.18
116.0,2022-05-26,£2238.28
125.0,2022-03-20,480.97
125.0,2023-02-09,169.07
125.0,2023-02-26,1184.3
125.0,2022-07-06,149.9 GBP
125.0,2023-10-12,444.02
125.0,2023-08-25,465.22
125.0,2023-01-17,827.32
125.0,2024-02-15,207.79
125.0,2024-04-26,69.57
125.0,2022-08-31,1967.69
125.0,2022-07-10,339.6 GBP
125.0,2021-11-17,607.54
125.0,2023-06-15,1120.12
125.0,2024-01-13,1312.31
125.0,2023-05-02,344.5
125.0,2024-07-24,116.76
125.0,2024-08-23,2151.6
125.0,2023-01-30,1161.32
125.0,2024-08-20,110.94
125.0,2023-12-19,923.16
125.0,2021-12-10,658.18
125.0,2023-02-19,665.13
125.0,2022-02-11,456.04
125.0,2023-06-11,42.56
125.0,2024-02-05,650.36
125.0,2024-01-16,206.7 GBP
125.0,2022-11-08,544.03 GBP
125.0,2023-09-28,319.66
125.0,2022-11-13,107.45 GBP
125.0,2024-02-10,392.83
125.0,2023-01-21,872.43
125.0,2022-08-15,£1126.12
125.0,2022-09-14,58.87
125.0,2021-10-12,192.94
128.0,2024-07-25,3064.76
128.0,2024-07-05,4465.1
128.0,2024-01-19,1677.91
128.0,2024-03-22,1287.92
128.0,2024-07-30,167.58
128.0,2023-07-26,3005.73
135.0,2023-04-22,322.25
135.0,2024-07-08,861.65
135.0,2024-05-17,4545.23
135.0,2023-02-21,687.33
135.0,2023-03-28,1736.78
135.0,2023-06-13,92.61
135.0,2023-08-27,188.36 GBP
135.0,2022-11-23,2973.79
136.0,2023-06-04,2883.73
136.0,2024-05-05,3270.03
136.0,2024-02-20,3561.46
136.0,2022-10-10,220.78
143.0,2022-11-20,3715.2
143.0,2023-12-11,3111.89
143.0,2022-12-25,2342.87
143.0,2021-12-30,2898.42
143.0,2023-03-13,187.33 GBP
143.0,2022-08-18,1485.68
143.0,2022-11-13,2807.06
143.0,2023-01-23,£1133.05
143.0,2021-12-11,1249.51
148.0,2023-06-18,4140.97
148.0,2023-08-26,626.05 GBP
148.0,2024-04-26,3181.22
148.0,2023-05-31,4895.76
150.0,2023-10-21,3085.0
152.0,2024-06-07,5974.89
