id,age,gender,income,education,region,loyalty_status,promotion_usage,satisfaction_score,Frequency,Monetary
24,27,Female,36226.0,College,North,Regular,1,4,12,12633.0
40,28,Female,46720.0,HighSchool,East,Silver,1,6,5,17595.0
54,36,Female,22078.0,College,East,Regular,0,6,5,7587.0
71,28,Male,40025.0,College,West,Silver,1,4,3,8973.0
88,32,Male,32621.0,College,West,Silver,1,4,5,9408.01
89,29,Female,40520.0,College,West,Silver,0,3,3,13186.0
98,37,Male,6856.0,Bachelor,South,Silver,0,6,1,2387.0
102,31,Male,34887.0,College,East,Silver,0,4,10,15266.0
103,29,Female,14391.0,Bachelor,West,Regular,0,6,1,5272.0
104,28,Male,5048.0,College,East,Regular,1,4,1,1568.0
107,26,Female,7829.0,Bachelor,East,Regular,0,5,1,3001.0
115,32,Female,9883.0,HighSchool,West,Regular,0,6,1,4289.0
116,31,Female,49578.0,Bachelor,West,Silver,1,5,7,19903.01
125,38,Female,46609.0,Bachelor,East,Regular,0,5,34,20447.0
128,30,Male,31711.0,Bachelor,North,Silver,0,6,6,13669.0
135,21,Male,38467.0,College,East,Regular,1,4,8,11408.0
136,35,Male,22988.0,Bachelor,East,Regular,0,6,4,9936.0
143,23,Male,44764.0,College,North,Silver,1,4,9,18931.01
148,33,Female,32069.0,College,West,Regular,0,5,4,12844.0
150,24,Male,8854.0,Bachelor,East,Silver,0,4,1,3085.0
152,33,Male,26110.0,Masters,North,Regular,0,6,4,9307.0
159,34,Female,28363.0,HighSchool,North,Regular,0,7,7,12462.0
162,25,Male,26516.0,HighSchool,West,Gold,1,2,2,7435.0
183,28,Male,9552.0,HighSchool,North,Silver,1,5,1,3110.0
187,35,Male,9157.0,Bachelor,East,Silver,0,5,1,3337.0
196,39,Female,40055.0,College,South,Silver,1,3,6,17092.0
220,24,Male,32402.0,College,West,Regular,1,4,5,11514.01
227,27,Male,30931.0,HighSchool,South,Regular,0,7,6,11447.99
240,27,Male,6765.0,HighSchool,West,Regular,0,4,1,2668.0
251,28,Male,26777.0,Masters,South,Silver,0,3,1,10562.0
254,30,Male,39742.0,HighSchool,North,Silver,1,4,15,15486.01
266,37,Male,39336.0,HighSchool,East,Regular,0,5,7,12318.0
268,22,Male,36568.0,Bachelor,West,Regular,0,4,7,12768.01
271,34,Male,16479.0,Bachelor,North,Silver,1,5,1,5591.0
275,34,Male,32828.0,College,West,Silver,1,5,8,12406.01
279,32,Female,15613.0,College,North,Silver,0,5,1,6081.0
296,30,Female,15992.0,College,South,Silver,0,6,1,5670.0
301,27,Female,7479.0,College,South,Regular,0,6,1,2057.0
313,22,Female,35555.0,College,West,Regular,0,4,2,9539.0
314,27,Female,6914.0,College,South,Silver,0,6,1,2054.0
343,37,Female,42990.0,College,West,Gold,1,5,2,10937.0
348,27,Male,40424.0,College,North,Regular,0,4,5,15517.0
352,21,Male,25727.0,College,South,Regular,0,5,2,8405.0
363,31,Female,28025.0,Bachelor,West,Regular,0,6,11,12681.99
366,29,Male,46373.0,College,North,Regular,0,4,15,17856.01
370,28,Male,10439.0,College,South,Regular,1,5,1,4038.0
374,34,Female,42544.0,HighSchool,East,Silver,0,5,5,11805.0
379,30,Female,39032.0,College,North,Silver,1,6,6,13794.0
380,22,Female,44147.0,College,North,Regular,1,4,5,17362.0
381,30,Male,26175.0,College,North,Gold,0,5,5,7418.0
399,24,Female,38172.0,Bachelor,West,Gold,0,5,6,12982.0
407,28,Male,30664.0,Bachelor,West,Regular,0,3,2,10766.0
420,28,Female,40940.0,College,East,Silver,0,6,7,13390.0
423,31,Female,40944.0,College,East,Regular,0,5,23,17549.01
424,36,Female,17648.0,HighSchool,West,Regular,0,4,2,7367.0
437,33,Female,12359.0,Masters,South,Regular,0,4,1,4089.0
438,35,Male,24804.0,College,East,Silver,0,3,1,6530.0
442,32,Male,13089.0,College,East,Regular,0,7,1,4700.0
445,27,Female,8527.0,College,North,Regular,1,4,1,2444.0
455,34,Male,26730.0,Bachelor,East,Silver,1,5,2,8926.0
458,28,Female,40052.0,College,West,Regular,0,4,3,14909.0
467,33,Female,38164.0,College,East,Regular,0,3,3,13727.000000000002
